design,battery_kwh,pv_kw,lp_operational_cost,lp_total_cost,lp_lcoe,lp_rank
B500_PV500,500.0,500.0,198554.11376696272,286299.0702073274,0.1872609949519153,1
B1000_PV500,1000.0,500.0,196629.61895010513,311596.2033522519,0.20380721118209433,2
B1500_PV500,1500.0,500.0,194705.12413324765,336893.3364971766,0.22035342741227346,3
B500_PV1000,500.0,1000.0,190806.2146383022,339074.49955724925,0.22178007111211426,4
B2000_PV500,2000.0,500.0,192780.62931639008,362190.4696421012,0.23689964364245253,5
B1000_PV1000,1000.0,1000.0,188881.7198214446,364371.63270217384,0.23832628734229333,6
B2500_PV500,2500.0,500.0,190856.13449456735,387487.6027820606,0.253445859869384,7
B1500_PV1000,1500.0,1000.0,186957.2250045871,389668.7658470985,0.25487250357247243,8
B500_PV1500,500.0,1500.0,183058.3155096417,391849.92890717124,0.2562991472723133,9
B2000_PV1000,2000.0,1000.0,185032.73018772955,414965.8989920231,0.2714187198026515,10
B1000_PV1500,1000.0,1500.0,181133.8206927841,417147.0620520958,0.27284536350249233,11
B2500_PV1000,2500.0,1000.0,183108.23536590682,440263.0321319825,0.28796493602958295,12
B1500_PV1500,1500.0,1500.0,179209.32587592656,442444.1951970204,0.28939157973267143,13
B500_PV2000,500.0,2000.0,175310.41638098113,444625.3582570931,0.2908182234325123,14
B2000_PV1500,2000.0,1500.0,177284.83105906905,467741.3283419451,0.30593779596285053,15
B1000_PV2000,1000.0,2000.0,173385.92156412356,469922.49140201777,0.3073644396626914,16
B2500_PV1500,2500.0,1500.0,175360.33623724632,493038.4614819045,0.322484012189782,17
B1500_PV2000,1500.0,2000.0,171461.42674726606,495219.6245469424,0.32391065589287044,18
B500_PV2500,500.0,2500.0,167562.9301831356,497401.20053783007,0.325337569680334,19
B2000_PV2000,2000.0,2000.0,169536.9319304085,520516.75769186695,0.3404568721230495,20
B1000_PV2500,1000.0,2500.0,165638.4755421281,522698.3738586047,0.34188381218852243,21
B2500_PV2000,2500.0,2000.0,167612.4532354005,545813.9069586411,0.3570030988981234,22
B1500_PV2500,1500.0,2500.0,163714.04702458988,547995.5733028486,0.35843007178341274,23
B2000_PV2500,2000.0,2500.0,161789.66197524007,573292.816215281,0.37497635980974786,24
B2500_PV2500,2500.0,2500.0,159865.33507533168,598590.1172771548,0.39152268587016475,25
