design,battery_kwh,pv_kw,accurate_operational_cost,accurate_total_cost,accurate_lcoe,accurate_rank,lp_rank,lp_lcoe,order_gain
B500_PV1833,500.0,1833.333,1072598.7829220258,1321739.241623058,0.13169358070940904,1,1,0.13169358070950798,0
B500_PV2278,500.0,2277.778,1023106.923482339,1326045.9636346984,0.13212268777150737,2,2,0.1321226877718842,0
B500_PV2500,500.0,2500.0,1002270.1944645338,1332108.4648192283,0.1327267346696424,3,3,0.1327267346698917,0
B1000_PV2056,1000.0,2055.556,1029905.7817151677,1333167.219626974,0.1328322253801657,4,4,0.13283222538036363,0
B1000_PV1833,1000.0,1833.333,1057523.4703126035,1333885.556975418,0.13290379805849348,5,5,0.13290379805869137,0
B1000_PV2278,1000.0,2277.778,1006006.3766734491,1336167.0447875906,0.13313111770662692,6,6,0.13313111770725308,0
B1000_PV1611,1000.0,1611.111,1089365.796808025,1338828.6532685044,0.1333963112790502,7,7,0.1333963112792481,0
B1000_PV2500,1000.0,2500.0,984494.0288929044,1341553.927209381,0.1336678482603139,8,8,0.13366784826051173,0
B1500_PV2056,1500.0,2055.556,1014088.1988757229,1344571.2647493116,0.13396848546039763,9,9,0.13396848546105827,0
B1500_PV1833,1500.0,1833.333,1042853.2170281236,1346436.9316527203,0.1341543741343385,10,10,0.13415437413463532,0
B1500_PV2278,1500.0,2277.778,989221.8407256708,1346604.1368015946,0.13417103388391308,11,11,0.13417103388478854,0
B1000_PV1389,1000.0,1388.889,1126734.86452474,1349298.4907828842,0.13443949010607906,12,12,0.13443949010627695,0
B500_PV1167,500.0,1166.667,1182293.9411603976,1350736.7092544246,0.1345827892791648,13,13,0.13458278927926376,0
B1500_PV2500,1500.0,2500.0,967142.6493708026,1351424.1756490616,0.13465128608116333,14,14,0.13465128608146013,0
B1500_PV1611,1500.0,1611.111,1075745.1238900742,1352429.6083123358,0.1347514639554513,15,15,0.1347514639557481,0
B2000_PV2056,2000.0,2055.556,998759.4185737454,1356464.1124091162,0.1351534481548758,16,16,0.13515344815623692,0
B2000_PV2278,2000.0,2277.778,972859.2325924343,1357463.15663014,0.1352529895066118,17,17,0.1352529895075185,0
B2000_PV1833,2000.0,1833.333,1028519.6867164362,1359325.029302815,0.13543850013636996,18,18,0.13543850013676573,0
