design,battery_kwh,pv_kw,lp_operational_cost,lp_total_cost,lp_lcoe,lp_rank
B500_PV1833,500.0,1833.333,1072598.7829230188,1321739.2416240512,0.13169358070950798,1
B500_PV2278,500.0,2277.778,1023106.923486121,1326045.9636384805,0.1321226877718842,2
B500_PV2500,500.0,2500.0,1002270.1944670357,1332108.4648217303,0.1327267346698917,3
B1000_PV2056,1000.0,2055.556,1029905.781717154,1333167.2196289604,0.13283222538036363,4
B1000_PV1833,1000.0,1833.333,1057523.4703145898,1333885.556977404,0.13290379805869137,5
B1000_PV2278,1000.0,2277.778,1006006.3766797336,1336167.0447938752,0.13313111770725308,6
B1000_PV1611,1000.0,1611.111,1089365.7968100111,1338828.6532704905,0.1333963112792481,7
B1000_PV2500,1000.0,2500.0,984494.0288948903,1341553.9272113668,0.13366784826051173,8
B1500_PV2056,1500.0,2055.556,1014088.1988823535,1344571.2647559422,0.13396848546105827,9
B1500_PV1833,1500.0,1833.333,1042853.2170311027,1346436.9316556994,0.13415437413463532,10
B1500_PV2278,1500.0,2277.778,989221.8407344577,1346604.1368103814,0.13417103388478854,11
B1000_PV1389,1000.0,1388.889,1126734.864526726,1349298.4907848702,0.13443949010627695,12
B500_PV1167,500.0,1166.667,1182293.9411613906,1350736.7092554176,0.13458278927926376,13
B1500_PV2500,1500.0,2500.0,967142.6493737814,1351424.1756520404,0.13465128608146013,14
B1500_PV1611,1500.0,1611.111,1075745.1238930533,1352429.6083153149,0.1347514639557481,15
B2000_PV2056,2000.0,2055.556,998759.4185874064,1356464.112422777,0.13515344815623692,16
B2000_PV2278,2000.0,2277.778,972859.2326015341,1357463.15663924,0.1352529895075185,17
B2000_PV1833,2000.0,1833.333,1028519.6867204084,1359325.029306787,0.13543850013676573,18
B2000_PV2500,2000.0,2500.0,950196.0572686148,1361699.2115086557,0.1356750555370856,19
B1500_PV1389,1500.0,1388.889,1114496.0268237265,1364281.281043653,0.13593232412077907,20
B1000_PV1167,1000.0,1166.667,1170855.6293866753,1366520.0254424843,0.1361553849612919,21
B2500_PV2278,2500.0,2277.778,956947.6914383345,1368773.2434378227,0.1363798879014941,22
B2500_PV2056,2500.0,2055.556,983923.5302064291,1368849.852003582,0.13638752091716025,23
B500_PV944,500.0,944.444,1229541.0797096775,1371084.4965547125,0.13661017326286026,24
B2500_PV2500,2500.0,2500.0,933567.4950025014,1372292.2772043245,0.1367305123989395,25
B2500_PV1833,2500.0,1833.333,1014550.2334163663,1372577.2039645272,0.1367589015275281,26
B2000_PV1389,2000.0,1388.889,1102678.7333428331,1379685.6155245416,0.1374671593608545,27
B3000_PV2278,3000.0,2277.778,941543.9658971627,1380591.1458584329,0.13755738330848027,28
B3000_PV2056,3000.0,2055.556,969473.6172697752,1381621.5670287104,0.1376600509522025,29
B1500_PV1167,1500.0,1166.667,1159492.5907471832,1382378.6147647745,0.13773548060125174,30
B3000_PV2500,3000.0,2500.0,917294.0609261023,1383240.4710897075,0.13782135301989015,31
B1000_PV944,1000.0,944.444,1218185.2998619215,1386950.3446687385,0.13819099214402017,32
B500_PV722,500.0,722.222,1277011.7320467504,1391655.9186894502,0.13865983945714053,33
